layer,feature,recall,fuzz,combined,explanation
0,0,0.62,0.55,0.58,"The word ""Everybody""."
0,1,N/A,N/A,-1.0,Feature not found.
0,2,N/A,N/A,-1.0,Feature not found.
0,3,0.03,0.02,0.03,"The organization ""Human Rights Watch""."
0,4,0.08,0.08,0.08,"The proper noun ""Sutherland"" (and occasionally ""Skinner""), often referring to a geographic location or a person's surname."
0,5,0.3,0.8,0.55,"The substring ""ipers"" in various words, often related to nouns or objects."
0,6,0.15,0.15,0.15,"The adjective ""fluorescent"" or the verb ""lashed"", often describing a vivid or intense quality."
0,7,0.08,0.13,0.11,"The Greek letter ""Mu"" (μ) in various proper nouns, such as names, titles, and words of Greek origin."
0,8,N/A,N/A,-1.0,Feature not found.
0,9,0.58,0.58,0.58,"The word ""Heard"" or ""hearings"" in various contexts, often related to names, quotes, or official proceedings."
0,10,0.68,0.7,0.69,"The suffixes ""-aid"", ""-assistants"", or ""-supplementation"" in nouns, often related to support or help."
0,11,0.2,0.2,0.2,"The token ""body"", often in a technical or HTML context."
0,12,0.5,0.4,0.45,"The number ""480"" in various contexts, often related to technical specifications, resolutions, or step numbers in a process."
0,13,0.35,0.62,0.48,"Ordinal numbers (e.g., ""fourth"", ""fifth"") and the suffix ""-ugal"" in words related to music, mathematics, or physics."
0,14,0.27,0.35,0.31,"The token ""webpage"" in various contexts, likely related to online content or websites."
0,15,0.15,0.0,0.07,"The suffix ""-holder"" in nouns, often referring to individuals or groups with a vested interest or responsibility."
0,16,0.52,0.52,0.52,"The token ""tie"" in various compound words or phrases, often related to binding, connection, or unity."
0,17,N/A,N/A,-1.0,Feature not found.
0,18,0.07,0.07,0.07,"The surname ""Hubbard"", often referring to a specific person, particularly L. Ron Hubbard, the founder of Scientology."
0,19,N/A,N/A,-1.0,Feature not found.
0,20,N/A,N/A,-1.0,Feature not found.
0,21,0.37,0.62,0.49,"The suffix ""-URES"" in various nouns, often related to measurements, collections, or structures."
0,22,N/A,N/A,-1.0,Feature not found.
0,23,N/A,N/A,-1.0,Feature not found.
0,24,0.23,0.22,0.23,"The prefix ""ruth"" or the word ""disreg""."
0,25,0.37,0.4,0.38,"The word ""fail"" or its variations, often in the context of evaluation, assessment, or outcome."
0,26,0.1,0.08,0.09,"The token ""Gears"" or ""robotic"" in a context related to technology, gaming, or robotics."
0,27,0.65,0.72,0.68,"The state ""Massachusetts"" in various contexts, often as part of a location or institution name."
0,28,N/A,N/A,-1.0,Feature not found.
0,29,0.65,0.87,0.76,"The hyphen (-) symbol, often used in scientific or technical contexts to indicate a range, a chemical bond, or a prefix/suffix in a word."
0,30,N/A,N/A,-1.0,Feature not found.
0,31,0.53,0.52,0.53,"The noun ""manufacturing"" in various industrial and technical contexts."
0,32,N/A,N/A,-1.0,Feature not found.
0,33,0.42,0.52,0.47,"The token ""Images"" in a Getty Images photo credit."
0,34,0.27,0.3,0.28,"The surname ""Silver"" or the word ""Silver"" in a proper noun."
0,35,0.62,0.73,0.68,"The word ""lounge"" or ""Studio"" in a context describing a physical space or facility."
0,36,0.07,0.1,0.08,"The word ""pageant"" or related terms like ""contestants"", often in the context of a competition or event."
0,37,N/A,N/A,-1.0,Feature not found.
0,38,N/A,N/A,-1.0,Feature not found.
0,39,0.25,0.37,0.31,"The prefix ""tid"" in various words, often related to tidbits of information or tidying up."
0,40,N/A,N/A,-1.0,Feature not found.
0,41,0.2,0.22,0.21,"The prefix ""Mans"" in proper nouns, often referring to surnames or place names."
0,42,0.55,0.65,0.6,"The verb ""include"" in a sentence, often indicating a list of items or options that are part of a larger set."
0,43,N/A,N/A,-1.0,Feature not found.
0,44,N/A,N/A,-1.0,Feature not found.
0,45,0.78,0.83,0.81,"The word ""apple"" in various contexts, often related to food, technology, or idioms."
0,46,0.08,0.05,0.07,"The words ""immature"" and ""begging"", often used to describe a state or action of vulnerability or dependence."
0,47,N/A,N/A,-1.0,Feature not found.
0,48,0.35,0.3,0.32,"The substring ""yll"" in proper nouns, typically in people's names or scientific terms."
0,49,N/A,N/A,-1.0,Feature not found.
2,0,0.72,0.73,0.72,"The word ""like"" used for comparison or similarity."
2,1,0.6,0.62,0.61,"The token ""Other"" in categorical lists or forms, often indicating a miscellaneous or unspecified category."
2,2,0.78,0.73,0.76,"Verb suffixes (-ing, -ed, -s) indicating action or state."
2,3,0.75,0.78,0.77,"The prefix ""pr"" in words, often indicating a sense of pride or precedence."
2,4,0.6,0.72,0.66,"The token ""Images"" in a context related to image credits, licensing, or references."
2,5,0.65,0.58,0.62,"Terms related to sports, competitions, or events, such as ""card"", ""round"", ""ref"", ""point"", ""side"", ""wing"", ""final"", ""dismissed"", ""takedown"", ""title"", and ""singles"", as well as quotation marks and punctuation marks."
2,6,0.8,0.88,0.84,"Two- or three-digit numbers, often representing statistics or scores in sports-related contexts."
2,7,0.4,0.57,0.48,"The token ""am"" (or ""AM"") in proper nouns, often as part of a person's name or an acronym."
2,8,N/A,N/A,-1.0,Feature not found.
2,9,N/A,N/A,-1.0,Feature not found.
2,10,N/A,N/A,-1.0,Feature not found.
2,11,0.7,0.75,0.72,"The token ""pool"" in various contexts, often related to a collection or accumulation of something."
2,12,N/A,N/A,-1.0,Feature not found.
2,13,0.38,0.58,0.48,"The prefix ""Por"" in various proper nouns, often indicating a person's surname or a location."
2,14,N/A,N/A,-1.0,Feature not found.
2,15,0.23,0.87,0.55,A double angle quotation mark (>>) used to separate sections or introduce a list in instructional or informative text.
2,16,N/A,N/A,-1.0,Feature not found.
2,17,N/A,N/A,-1.0,Feature not found.
2,18,0.22,0.22,0.22,"The token ""backer"" or ""linebacker"", likely related to American football positions."
2,19,0.73,0.72,0.72,"The word ""injury""."
2,20,0.08,0.08,0.08,"The word ""maid"" in various contexts, often referring to a female domestic worker or servant."
2,21,0.53,0.6,0.57,"The word ""throat"" in various contexts, often related to physical actions, injuries, or medical conditions."
2,22,0.48,0.53,0.51,"The token ""websites"" in a context related to online security, governance, or usage."
2,23,0.33,0.33,0.33,"Prefixes or suffixes of English words, often indicating grammatical function or word formation."
2,24,0.65,0.68,0.67,"The abbreviation for ""United States"" (U.S.), including individual letters ""U"" and ""S"" when part of this abbreviation."
2,25,0.17,0.13,0.15,"Geographic locations, specifically ""City"" and ""Canal"", often referring to Panama City or the Panama Canal."
2,26,0.8,0.78,0.79,"The comparative conjunction ""than"" in phrases indicating a quantitative comparison."
2,27,N/A,N/A,-1.0,Feature not found.
2,28,0.47,0.5,0.48,"The suffix ""-enda"" in various words, often in proper nouns or loanwords."
2,29,0.8,0.75,0.78,"The adjective ""robust"" in various contexts, often describing study summaries, growth, analysis, or systems."
2,30,N/A,N/A,-1.0,Feature not found.
2,31,0.48,0.5,0.49,"The word ""measure"" or ""measures"" in a financial or economic context, often related to assessment, evaluation, or quantification."
2,32,0.73,0.73,0.73,"The token ""Let"" at the beginning of a sentence, often introducing a suggestion or permission."
