text,feature,predicted_quantile,activation,order,expected_quantile,predicted_activation
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,29963,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,21897,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,11643,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,13123,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20099,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,2753,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,8156,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,5994,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,7810,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,14619,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,2384,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,10166,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,7384,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,17002,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,5656,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,10194,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,6994,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,8370,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,2830,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,3474,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1231,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20167,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,21376,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,3731,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,2203,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,28856,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,26141,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,5429,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20195,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,26745,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,7437,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,6655,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,5942,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,26363,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,18186,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1198,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,16017,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,28042,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20422,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1191,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,24303,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1807,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,14302,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,27168,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1838,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,10910,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,13784,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,13181,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,31377,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,17235,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,24874,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,11896,-1.0,0.0,-1,-1.0,-1.0
