feature,balanced_accuracy
0,0.8874395118872291
1,0.615
2,0.8049999999999999
3,0.7444771723122239
4,0.605
5,0.9078476751525353
6,0.86
7,0.8770250368188512
8,0.8899999999999999
9,0.9591836734693877
10,0.76
11,0.94
12,0.855
13,0.8924889543446244
14,0.7
15,0.82
16,0.89
17,0.665
18,0.77
19,0.8999999999999999
20,0.8302124973700821
21,0.895
22,0.9199999999999999
23,0.55
24,0.89
25,0.77
26,0.935
27,0.506427304964539
28,0.865
29,0.7225962549968441
30,0.77
31,0.625
32,0.625
33,0.9199999999999999
34,0.765
35,0.9228908058068588
36,0.8300000000000001
37,0.89
38,0.7
39,0.9692825583841784
40,0.6499999999999999
41,0.89
42,0.635
43,0.5549999999999999
44,0.935
45,0.6414369871660004
46,0.925
47,0.975
48,0.935
49,0.63
50,0.4252051335998317
52,0.645
53,0.825
54,0.745
55,0.7473118279569892
56,0.9052631578947368
57,0.7450000000000001
58,0.7660526315789473
59,0.45999999999999996
60,0.83
61,0.758889122659373
62,0.97
63,0.745
64,0.81
65,0.9330422890805807
66,0.537607826635809
67,0.8510414475068377
69,0.88
70,0.8055438670313486
71,0.87
72,0.6561119293078056
73,0.875
74,0.895
75,0.855
76,0.625
77,0.8300021039343572
78,0.855
79,0.6699999999999999
80,0.5042483660130719
81,0.8300000000000001
82,0.9189473684210526
83,0.7443719755943614
84,0.9743845992005049
85,0.855
86,0.815
87,0.5886282347990743
88,0.9023248474647592
89,0.7
90,0.8049999999999999
91,0.773774458236903
92,0.54
93,0.925
94,0.945
95,0.9450000000000001
96,0.969177361666316
97,0.9450000000000001
98,0.725
99,0.74
100,0.985
101,0.7450000000000001
102,0.7949999999999999
103,0.72
104,0.7694613928045445
105,0.6767508865248227
106,0.5002340823970037
107,0.885
108,0.8200000000000001
109,0.95
110,0.81
111,0.985
112,0.8200000000000001
113,0.935
114,0.7646749421418051
115,0.9299999999999999
116,0.795
117,0.915
118,0.785
119,0.9
120,0.8410477593099095
121,0.6950000000000001
122,0.83
123,0.4820113612455291
124,0.6950000000000001
126,0.8300000000000001
127,0.8200000000000001
128,0.9523492907801419
129,0.935
130,0.875
131,0.715
132,0.625
133,0.95
134,0.9285188302124974
135,0.81
136,0.915
137,0.8765516515884705
138,0.829949505575426
139,0.9896907216494846
140,0.825
141,0.79
142,0.8799999999999999
143,0.63
145,0.805
146,0.76
147,0.9199999999999999
148,0.985
149,0.735
150,0.88
151,0.915
152,0.78
153,0.9247368421052631
154,0.9023248474647592
155,0.975
156,0.895
157,0.935
158,0.8210077845571218
159,0.907795076793604
160,0.8200000000000001
161,0.615
162,0.8456238165369241
163,0.935
164,0.6709446665264044
165,0.86
166,0.7050000000000001
167,0.97
168,0.8334911616161617
169,0.8049999999999999
170,0.7749999999999999
171,0.855
172,0.61
173,0.9299999999999999
174,0.72
175,0.6052631578947368
176,0.8357353250578582
177,0.8319308087891537
178,0.885
180,0.63
181,0.935
182,0.8899999999999999
183,0.861035135703766
184,0.895
185,0.72
186,0.9450000000000001
187,0.815
188,0.6921542553191489
189,0.9099999999999999
190,0.64
191,0.915
192,0.45499999999999996
193,0.77
194,0.9450000000000001
195,0.535
196,0.8952792553191489
197,0.9199999999999999
198,0.9166666666666667
199,0.725
200,0.8010204081632653
201,0.9076372817168105
202,0.895
203,0.8255312434252051
204,0.78
205,0.7949999999999999
206,0.6112689393939394
207,0.705
208,0.75
209,0.645
210,0.7931578947368421
211,0.8300000000000001
212,0.64
213,0.885
214,0.7376393856511676
215,0.89
216,0.77
217,0.9199999999999999
218,0.975
219,0.97
220,0.735
221,0.88
222,0.98
223,0.8478535353535354
224,0.88
225,0.845
226,0.9894736842105263
228,0.9450000000000001
229,0.7238060172522618
230,0.785
231,0.61
232,0.7948138018093835
233,0.8300000000000001
234,0.9199999999999999
235,0.94
236,0.7140957446808511
237,0.8200000000000001
238,0.932449494949495
239,0.8500000000000001
240,0.8264627659574468
241,0.7842415316642121
242,0.8300000000000001
243,0.795
244,0.9
245,0.875
246,0.915
247,0.895
248,0.89
249,0.925
250,0.785
251,0.9437197559436146
252,0.895
253,0.815
254,0.8717652009257311
255,0.835
256,0.815
257,0.895
258,0.885
259,0.8
260,0.6402272249105828
261,0.7754050073637702
262,0.895
263,0.7
264,0.9537134441405428
265,0.9539764359351988
266,0.9099999999999999
267,0.7
268,0.885
269,0.98
270,0.825
271,0.745
272,0.77
273,0.6966126656848306
274,0.735
275,0.5650000000000001
276,0.78
277,0.805
278,0.7050000000000001
279,0.8870187250157795
280,0.865
281,0.695
282,0.755
283,0.7981578947368422
284,0.7234904270986746
285,0.625
286,0.8999999999999999
287,0.555
288,0.895
289,0.765
290,0.745
291,0.9022196507468967
292,0.89
293,0.5785998129967274
294,0.790447695035461
295,0.895
296,0.9299999999999999
297,0.96
298,0.72427398989899
299,0.785
300,0.7687815656565657
301,0.905
304,0.835
305,0.77
306,0.6704712812960236
307,0.925
308,0.8402587839259414
309,0.7849999999999999
310,0.8827335858585859
311,0.905
312,0.825
313,0.63
314,0.9591836734693877
315,0.96
316,0.528981695771092
317,0.85
318,0.9199999999999999
319,0.8258994319377235
320,0.7841889333052808
321,0.705
322,0.645
323,0.51
324,0.875
325,0.91
326,0.785
327,0.72
328,0.5121502209131075
329,0.835
330,0.6644570707070707
331,0.8712392173364191
333,0.78
334,0.935
335,0.8263157894736841
336,0.72
337,0.85
338,0.9233115926783084
339,0.7585504383257192
340,0.855
341,0.9537134441405428
342,0.59
343,0.865
344,0.8049999999999999
345,0.9199999999999999
346,0.885
347,0.6767180925666199
348,0.81
349,0.56
350,0.6717862402693036
351,0.86
352,0.955
353,0.8102251209762256
354,0.86
355,0.7953923837576268
356,0.9383021249737008
357,0.565
358,0.905
359,0.8874921102461604
360,0.85
361,0.8
362,0.72
363,0.835
364,0.6055871212121212
365,0.8661897748790237
366,0.95
367,0.8431186868686869
368,0.8400000000000001
369,0.955
370,0.645
371,0.835
372,0.6868293709236272
373,0.61
374,0.9233115926783084
375,0.81
376,0.7649999999999999
377,0.9330422890805807
378,0.9299999999999999
379,0.8200000000000001
380,0.8877551020408163
381,0.94
382,0.7050000000000001
383,0.8464653902798233
384,0.91
385,0.9007894736842106
386,0.73
387,0.885
388,0.895
389,0.975
390,0.6276501276501276
391,0.9263157894736842
392,0.925
393,0.975
394,0.91
395,0.845
396,0.7
397,0.5658356741573034
398,0.97
399,0.7895539659162634
400,0.895
401,0.8830506595721095
402,0.9
403,0.825
404,0.845
405,0.8979591836734694
406,0.935
407,0.815
408,0.955
409,0.68
410,0.5154033687943262
411,0.9184027777777777
412,0.97
413,0.8200000000000001
414,0.6715232484746476
415,0.7534188933305281
416,0.835
417,0.7913510101010102
418,0.7636229749631811
419,0.719636524822695
420,0.5487586787292237
421,0.7804018514622344
422,0.9
423,0.835
424,0.8411003576688407
425,0.8767620450241953
426,0.7849999999999999
427,0.895
428,0.9299999999999999
429,0.645
430,0.925
431,0.89
432,0.87
433,0.598990111508521
434,0.845
435,0.94
436,0.8500000000000001
437,0.915
438,0.925
439,0.8402587839259414
440,0.77
441,0.9079002735114664
442,0.905
443,0.7842941300231433
444,0.865
446,0.355
447,0.7637411347517731
448,0.79
449,0.73
450,0.695
451,0.88
452,0.76
453,0.865
454,0.665
455,0.66768356827267
456,0.5791079318325267
457,0.73
458,0.99
460,0.935
461,0.53
462,0.9
463,0.6499999999999999
464,0.71
465,0.7088154849568693
466,0.89185777403745
467,0.87
468,0.8767094466652641
469,0.7
470,0.765
471,0.87
472,0.935
473,0.7949999999999999
474,0.885
475,0.915
476,0.9299999999999999
477,0.915
478,0.66
479,0.815
480,0.745
481,0.77
482,0.9550000000000001
483,0.8207447927624658
484,0.5111111111111111
485,0.89
486,0.765
487,0.76
488,0.5675888912265937
489,0.77
490,0.8400000000000001
491,0.685
492,0.7850831054071112
493,0.8050704818009677
495,0.845360824742268
496,0.98
497,0.705
498,0.8164893617021276
499,0.8877840909090909
500,0.84
501,0.6399999999999999
502,0.965
503,0.7320639596044604
504,0.55
505,0.845
506,0.735
507,0.58
508,0.86
509,0.965
510,0.885
511,0.7835605808668662
512,0.7050000000000001
513,0.6799999999999999
514,0.885
515,0.8172043010752688
516,0.8049999999999999
517,0.7350000000000001
518,0.88
519,0.705
520,0.7323269513991164
521,0.8947368421052632
522,0.985
523,0.755
524,0.94
525,0.975
526,0.9299999999999999
527,0.7142331159267831
528,0.6950000000000001
529,0.625
530,0.72
531,0.6569009046917735
532,0.75
533,0.72
534,0.6201872501577951
535,0.6666316010940458
536,0.905
537,0.825
538,0.984588680833158
539,0.7549999999999999
540,0.885
541,0.8628755126926062
542,0.595
543,0.785
544,0.7
545,0.7579949505575426
546,0.975
547,0.875
548,0.845
549,0.8200000000000001
550,0.8799999999999999
551,0.78
552,0.7540500736377025
553,0.9642857142857143
554,0.7949999999999999
555,0.8300000000000001
556,0.825
557,0.96
558,0.99
559,0.5900000000000001
560,0.79
561,0.8055438670313486
562,0.9
563,0.7171260256679992
564,0.89
565,0.8515674310961499
566,0.7122343782873974
567,0.7749999999999999
568,0.845
569,0.7849999999999999
570,0.81
571,0.675
572,0.885
573,0.61
574,0.905
575,0.9384073216915633
576,0.9524601063829787
577,0.77
578,0.4707027140753208
579,0.83
580,0.64
581,0.7749999999999999
582,0.615
583,0.912739322533137
584,0.88
585,0.655
586,0.9228382074479275
587,0.8049999999999999
588,0.685
589,0.825
590,0.8200000000000001
591,0.8355249316221334
592,0.679135101010101
593,0.73
595,0.69
596,0.6900000000000001
597,0.835
598,0.87
599,0.895
600,0.935
601,0.46499999999999997
602,0.7854512939196296
603,0.66
604,0.79
605,0.9199999999999999
606,0.78
607,0.9192379616643291
608,0.8061868686868687
609,0.745
610,0.905
611,0.925
612,0.875
613,0.725
614,0.66
615,0.74
616,0.47500000000000003
617,0.9743320008415737
618,0.871186618977488
619,0.915
620,0.735
621,0.8522727272727273
622,0.9588680833158005
623,0.8415211445402904
624,0.6215548074900064
625,0.845
626,0.79
627,0.85
628,0.97
629,0.605
630,0.4998891843971631
631,0.8813157894736843
632,0.9299999999999999
634,0.8160635388175889
635,0.75
636,0.7754267009586159
637,0.9199999999999999
638,0.8877574906367041
639,0.9450000000000001
640,0.85
641,0.5785819482432148
642,0.8509888491479065
643,0.9299999999999999
644,0.815
645,0.6036931818181819
646,0.98
647,0.6000000000000001
648,0.835
649,0.955
650,0.8052631578947368
651,0.885
652,0.49
653,0.835
654,0.645
655,0.64
656,1.0
657,0.825
658,0.895
659,0.685
660,0.71
661,0.86
662,0.8675820707070707
663,0.69
664,0.7649999999999999
665,0.845
666,0.898157894736842
667,0.9370567375886525
668,0.825
669,0.8049999999999999
670,0.76
671,0.53
672,0.6398064380391332
673,0.545
674,0.74
675,0.7150000000000001
676,0.535
677,0.735
678,0.79
679,0.805
680,0.9485062066063539
681,0.8
682,0.77
683,0.835
684,0.9450000000000001
685,0.835
686,0.965
687,0.935
688,0.8720012626262625
689,0.8298611111111112
690,0.6210526315789474
691,0.9550000000000001
692,0.73
693,0.555
694,0.6778724747474747
695,0.78
697,0.74
698,0.78
699,0.605
700,0.5210526315789474
701,0.675
702,0.895
703,0.895
704,0.9105263157894736
705,0.8667157584683358
706,0.875
707,0.8873343151693667
708,0.6306543235851041
709,0.8113157894736842
710,0.85
711,0.8734217171717171
712,0.8899999999999999
713,0.755
714,0.87
715,0.8776595744680851
716,0.44
717,0.815
718,0.94
719,0.87
720,0.96
721,0.6799999999999999
722,0.595
723,0.8414685461813591
725,0.8666105617504734
726,0.9381969282558384
727,0.7137071323374711
728,0.77
729,0.7740900483904902
730,0.75
731,0.98
732,0.6212392173364191
733,0.95
734,0.6359707446808511
735,0.9489269934778035
736,0.91
737,0.8332164562879851
738,0.7102171985815603
739,0.882442667788765
740,0.8354723332632021
741,0.8300000000000001
742,0.705
743,0.6799999999999999
744,0.965
745,0.81
746,0.8049999999999999
747,0.9099999999999999
748,0.8400000000000001
749,0.875
750,0.8773932253313697
751,0.78
752,0.965
753,0.49
754,0.8774984220492321
755,0.7749999999999999
756,0.913002314327793
757,0.8049999999999999
758,0.73
759,0.8300000000000001
760,0.73989898989899
761,0.694760101010101
762,0.6950000000000001
763,0.6499999999999999
764,0.87
765,0.9588154849568693
766,0.7329581317062908
767,0.86
768,0.595
769,0.8409090909090909
770,0.805
772,0.905
773,0.8517543859649123
774,0.565
775,0.8955263157894737
776,0.775
777,0.8278947368421052
778,0.7122343782873974
779,0.69
780,0.46499999999999997
781,0.825
782,0.675
783,0.71
784,0.624605512308016
785,0.955
786,0.91
787,0.9025878392594151
788,0.8300000000000001
789,0.905
790,0.9450000000000001
791,0.76
792,0.8394736842105264
793,0.825
794,0.925
795,0.815064169997896
796,0.9616666666666667
797,0.6799999999999999
798,0.895
799,0.79
800,0.651798863875447
801,0.7397433200084158
802,0.935
803,0.751104797979798
804,0.655
805,0.9299999999999999
806,0.8006522196507468
807,0.7892992424242424
808,0.8653504880212954
809,0.745
810,0.7749999999999999
811,0.665
812,0.9299999999999999
813,0.8972228066484326
814,0.9199999999999999
815,0.72
816,0.88
817,0.95
818,0.8774984220492321
819,0.865
820,0.964180517567852
821,0.7468971631205674
822,0.9385125184094256
823,0.9044736842105263
824,0.9588680833158005
825,0.88
826,0.905
827,0.675
828,0.9052631578947368
829,0.825
830,0.7647801388596676
831,0.895
832,0.8046496949295182
833,0.95
834,0.76
835,0.865
836,0.895
837,0.77
838,0.875
839,0.7994950557542604
840,0.905
841,0.83
842,0.8500000000000001
843,0.9299999999999999
844,0.4948529411764706
845,0.55
846,0.6950000000000001
847,0.9484210526315789
848,0.9387229118451504
849,0.9647368421052631
850,0.8799999999999999
851,0.8049999999999999
852,0.9083017676767677
853,0.63
854,0.8376315789473685
855,0.6114098667290158
856,0.885
857,0.71
858,0.9381443298969072
859,0.6623711340206185
860,0.66
861,0.7343782873974332
862,0.9691247633073847
863,0.6620555438670312
864,0.7135416666666666
865,0.86
866,0.9378156565656566
867,0.7
868,0.565
869,0.75
870,0.6977698295813171
871,0.885
872,0.615
873,0.965
874,0.9783777466105656
875,0.915
876,0.905
877,0.8560908899642331
878,0.8200000000000001
879,0.42
880,0.8300000000000001
881,0.915
882,0.76488533557753
883,0.9179991584262571
884,0.8314222596254996
885,0.9299999999999999
886,0.865
887,0.75
888,0.5800000000000001
889,0.5800000000000001
890,0.74
891,0.9199999999999999
892,0.8049999999999999
893,0.845
894,0.715
895,0.81
896,0.875
897,0.9
898,0.8060698506206607
899,0.8999999999999999
900,0.7949999999999999
901,0.7795602777193351
902,0.785
903,0.825
904,0.6263157894736842
905,0.8
906,0.9279928466231853
907,0.835
908,0.7749999999999999
909,0.925
910,0.6699999999999999
911,0.735
912,0.86
913,0.89
914,0.87
915,0.905
916,0.665
917,0.7949999999999999
918,0.97
919,0.675
920,0.5800000000000001
921,0.655
922,0.8734217171717171
923,0.77
924,0.7082895013675573
925,0.85
926,0.8200000000000001
927,0.9299999999999999
928,0.845
929,0.8200000000000001
930,0.7949999999999999
931,0.8566168735535451
932,0.755
933,0.861298127498422
934,0.96
935,0.7350000000000001
936,0.8500000000000001
937,0.71
939,0.9299999999999999
940,0.95
941,0.915
942,0.5
943,0.86
944,0.86
945,0.8887411347517731
946,0.85
947,0.6699999999999999
948,0.8845301418439716
949,0.665
950,0.855
951,0.6849999999999999
952,0.64
953,0.85
954,0.7463699494949495
955,0.965
956,0.929135101010101
957,0.88
958,0.77
959,0.89
960,0.4861500701262272
961,0.885
962,0.905
963,0.96
964,0.6886177151272881
965,0.715
966,0.6950000000000001
967,0.9693351567431097
968,0.8058068588260046
969,0.73
970,0.645
971,0.6
972,0.96
974,0.59
975,0.865
976,0.95
977,0.7492636229749632
978,0.7482642541552704
979,0.9330948874395119
980,0.6915106248685041
981,0.8300000000000001
982,0.7
983,0.71
984,0.9075320849989481
985,0.665
986,0.75
987,0.825
988,0.915
989,0.5060240963855421
990,0.8151167683568272
991,0.8300000000000001
992,0.94
993,0.8842105263157894
994,0.84
995,0.7172312223858615
996,0.53
997,0.76
998,0.49
999,0.8049999999999999
1000,0.7150000000000001
1001,0.86
1002,0.8049999999999999
1003,0.88
1004,0.7332737218598779
1005,0.955
1006,0.965
1007,0.7375341889333054
1008,0.9056959219858156
1009,0.8200000000000001
1010,0.7949999999999999
1011,0.8723169191919191
1012,0.7236482221754681
1013,0.7
1014,0.7849999999999999
1015,0.9487691984010099
1016,0.915
1017,0.81
1018,0.9
1019,0.855
1020,0.74
1021,0.968421052631579
1022,0.81
1023,0.635
1024,0.94
1025,0.815
1026,0.59
1028,0.855
1029,0.685
1030,0.91
1031,0.5021565327161792
1032,0.4796401515151515
1033,0.79
1034,0.6900252525252525
1035,0.8105263157894738
